address,usd_seizable_now,tokens
0x0e1052b2e5f0156937f2eb1dbdcec5c78c770502,18.90,USDC.e:18.9007
0x02fce1a74fb27c718478158fd5cadb1a0d540ec9,18.82,USDC:18.8205
0x1eab722908272b4941850a26a66e1983383debbf,18.53,ARB:204.0707
0xbabfaba353c05d882cfb2201f039fa759b45f727,18.50,WBTC:0.0003
0x262cda145d2dc6a12814b4f8f44f1adc1352464c,18.16,ARB:200.0000
0xa01f918d96382faa1e4dc98b84d76cc6b6d1345c,18.08,USDC.e:18.0852
0x001a530a6c6324aaf811446015cf5beb1dc44642,18.05,USDC:18.0541
0x18cfa68f7c6a23304f287907a28a6454bd7bba51,18.00,USDC.e:18.0000
0xcb416659fa9f9e93013bfd6641f827c9dd667901,18.00,USDC.e:18.0000
0x5c6eab623d6077cf754adbea779a127c2a97539d,17.97,USDT:17.9786
0x75b7ede0f4bf1515fee34bffc3dd476690b523c6,17.97,USDT:17.9782
0x1e268f0ae13a4db04bac61f675f7af71aee40be1,17.81,USDC.e:17.8105
0x2a2ba5f0e2215fad7a0e4c5c4e910c9776eedc9b,17.63,USDC.e:17.6326
0x37130086691ae900e7ba22936937c31c8164788f,17.56,USDC:17.5638
0x3bea292f62e349e13d7bed1e0204d53b95916409,17.35,USDC:17.3490
0x40e45011130da4840767f08bb29f39b68a39ff76,16.96,USDC:16.9579
0xfb2a899dd5655ecdd999796f4c6d6855f49b0f09,16.87,USDC:16.8724
0x55bb8f041180addd656177141abbbdedf04203d4,16.70,USDC.e:16.7000
0x5548be19a291a1dd02c01b1af2ba15a951cfd33d,16.53,USDT:8.0000;ARB:4.9363;DAI:8.0886
0x6a96c5315a54c65a8a5b20c52a0b1a6eccf674a3,16.45,USDC:16.4551
0x85ab9280d62ddaab2cd1c22ba51abd93c4f5b9e0,16.19,USDC.e:16.1931
0x4fd40d9b334a121607305fbbb7632e1a53d3b6d6,16.10,USDC.e:16.1020
0x0a1089538597858b75812edbd8d47f8c75dec9c6,15.98,ARB:175.9372
0x2adde568bbcab1ad53b5a339544bc8ed6b21c1f3,15.65,ARB:172.2967
0x699717f47b97bb617dd075b98d27c9008d92a4c0,15.60,USDC:15.6041
0x33c30f8c468c874dfea94c465f68c7904f7320fe,15.31,USDT:15.3111
0xd2c96a3ce782b55d2c309110a556fa80c6c5e6ec,15.24,USDC.e:15.2411
0x429beece290c19fdf5523364e3f6cb65f30c3695,15.17,USDT:9.4529;ARB:63.0000
0x6e13210843e7deb1f1c949d94cdf13d7d173e24a,15.00,USDT:15.0000
0x99311fdfae7417ac84b194e4b52254f1e2d266b5,14.99,USDT:14.9899
0x8f6e2283aa2dcbb6d0ac7c60a4b70118feebbe86,14.98,ARB:164.9627
0x752ecff43ee72e751b92a6a4f42a6b359ada8a8f,14.93,USDT:14.9352
0x989989a92c80e49ecc0d2a8e0958eb2673f630c8,14.87,USDC.e:14.8680
0x20e7a8c5d11d8c2f58b8147591285b870bba98ac,14.83,USDC:14.8338
